Date,AMZN,GOOGL,TSLA
2020-01-02,94.90049743652344,68.43399810791016,28.68400001525879
2020-01-03,93.74849700927734,68.07599639892578,29.534000396728516
2020-01-06,95.14399719238281,69.8905029296875,30.1026668548584
2020-01-07,95.34300231933594,69.75550079345703,31.270666122436523
2020-01-08,94.59850311279297,70.25199890136719,32.80933380126953
2020-01-09,95.05249786376953,70.989501953125,32.089332580566406
2020-01-10,94.15799713134766,71.447998046875,31.876667022705078
2020-01-13,94.56500244140625,72.00150299072266,34.990665435791016
2020-01-14,93.47200012207031,71.52950286865234,35.861331939697266
2020-01-15,93.10099792480469,71.95999908447266,34.56666564941406
2020-01-16,93.89700317382812,72.50800323486328,34.232666015625
2020-01-17,93.23600006103516,73.97599792480469,34.03333282470703
2020-01-21,94.5999984741211,74.11250305175781,36.47999954223633
2020-01-22,94.37300109863281,74.19349670410156,37.97066879272461
2020-01-23,94.22899627685547,74.2344970703125,38.14666748046875
2020-01-24,93.08200073242188,73.30850219726562,37.654666900634766
2020-01-27,91.41699981689453,71.58650207519531,37.201332092285156
2020-01-28,92.6624984741211,72.5250015258789,37.793331146240234
2020-01-29,92.9000015258789,72.83499908447266,38.732666015625
2020-01-30,93.53399658203125,72.7125015258789,42.72066879272461
2020-01-31,100.43599700927734,71.63899993896484,43.371334075927734
2020-02-03,100.20999908447266,74.12999725341797,52.0
2020-02-04,102.4834976196289,72.27050018310547,59.137332916259766
2020-02-05,101.99349975585938,72.30249786376953,48.97999954223633
2020-02-06,102.5114974975586,73.79850006103516,49.930667877197266
2020-02-07,103.96399688720703,73.95549774169922,49.871334075927734
2020-02-10,106.69550323486328,75.43299865722656,51.41866683959961
2020-02-11,107.54000091552734,75.50299835205078,51.62533187866211
2020-02-12,108.0,75.93150329589844,51.15266799926758
2020-02-13,107.49349975585938,75.66950225830078,53.599998474121094
2020-02-14,106.74349975585938,75.9365005493164,53.33533477783203
2020-02-18,107.78350067138672,75.97200012207031,57.22666549682617
2020-02-19,108.51100158691406,76.24349975585938,61.16133117675781
2020-02-20,107.65499877929688,75.84950256347656,59.96066665649414
2020-02-21,104.79850006103516,74.1729965209961,60.06666564941406
2020-02-24,100.4645004272461,70.99299621582031,55.58599853515625
2020-02-25,98.63700103759766,69.31600189208984,53.32733154296875
2020-02-26,98.97949981689453,69.52349853515625,51.91999816894531
2020-02-27,94.21499633789062,65.74749755859375,45.266666412353516
2020-02-28,94.1875,66.9625015258789,44.53266525268555
2020-03-02,97.69750213623047,69.31600189208984,49.574668884277344
2020-03-03,95.44950103759766,66.88600158691406,49.70066833496094
2020-03-04,98.79149627685547,69.08000183105469,49.96666717529297
