Date,AAPL,AMZN,CSCO,GOOGL,INTC,JPM,MSFT,PG,TSLA,V
2020-01-02,73.15266418457031,94.90049743652344,42.76403045654297,68.43399810791016,54.385215759277344,124.25418853759766,154.77951049804688,111.7966079711914,28.68400001525879,185.89744567871094
2020-01-03,72.44145965576172,93.74849700927734,42.06631088256836,68.07599639892578,53.72372055053711,122.61448669433594,152.85226440429688,111.04471588134766,29.534000396728516,184.41900634765625
2020-01-06,73.01868438720703,95.14399719238281,42.216461181640625,69.8905029296875,53.57176208496094,122.51697540283203,153.24732971191406,111.19871520996094,30.1026668548584,184.0202178955078
2020-01-07,72.67527770996094,95.34300231933594,41.942665100097656,69.75550079345703,52.6778564453125,120.43412780761719,151.85009765625,110.5102310180664,31.270666122436523,183.53384399414062
2020-01-08,73.8443374633789,94.59850311279297,41.96916198730469,70.25199890136719,52.71361541748047,121.37361907958984,154.268798828125,110.98130798339844,32.80933380126953,186.67559814453125
2020-01-09,75.41287231445312,95.05249786376953,41.79252624511719,70.989501953125,53.00859832763672,121.8167953491211,156.196044921875,112.19520568847656,32.089332580566406,187.96925354003906
2020-01-10,75.58333587646484,94.15799713134766,41.62472152709961,71.447998046875,52.686790466308594,120.60253143310547,155.4733428955078,112.30390930175781,31.876667022705078,188.47506713867188
2020-01-13,77.1981430053711,94.56500244140625,42.366600036621094,72.00150299072266,53.26784133911133,121.60408782958984,157.3428192138672,113.12826538085938,34.990665435791016,189.99244689941406
2020-01-14,76.15572357177734,93.47200012207031,42.20762634277344,71.52950286865234,53.12480926513672,123.02220153808594,156.23463439941406,112.95614624023438,35.861331939697266,190.69276428222656
2020-01-15,75.82935333251953,93.10099792480469,42.401920318603516,71.95999908447266,52.686790466308594,121.17862701416016,157.24644470214844,114.10665130615234,34.56666564941406,194.34027099609375
2020-01-16,76.77922058105469,93.89700317382812,43.320438385009766,72.50800323486328,53.33041000366211,121.64842224121094,160.1277313232422,114.20629119873047,34.232666015625,195.45887756347656
2020-01-17,77.6292495727539,93.23600006103516,43.293941497802734,73.97599792480469,53.276763916015625,122.49040222167969,161.02394104003906,114.5143051147461,34.03333282470703,199.1063995361328
2020-01-21,77.10316467285156,94.5999984741211,43.09964370727539,74.11250305175781,54.12598419189453,121.28500366210938,160.4457244873047,114.22440338134766,36.47999954223633,201.6256103515625
2020-01-22,77.37838745117188,94.37300109863281,43.338104248046875,74.19349670410156,56.07469940185547,121.14320373535156,159.67481994628906,114.42369842529297,37.97066879272461,202.21896362304688
2020-01-23,77.75102996826172,94.22899627685547,43.27629089355469,74.2344970703125,56.60210037231445,121.01911163330078,160.65774536132812,113.90062713623047,38.14666748046875,200.8766632080078
2020-01-24,77.5269546508789,93.08200073242188,43.143802642822266,73.30850219726562,61.20572280883789,118.01445770263672,159.03878784179688,114.03732299804688,37.654666900634766,199.39820861816406
2020-01-27,75.24723815917969,91.41699981689453,41.92499542236328,71.58650207519531,58.72065353393555,117.0217514038086,156.37916564941406,114.53852844238281,37.201332092285156,196.17861938476562
2020-01-28,77.37594604492188,92.6624984741211,42.18996047973633,72.5250015258789,60.16877365112305,119.14894104003906,159.4435577392578,114.84835815429688,37.793331146240234,197.3069610595703
2020-01-29,78.99560546875,92.9000015258789,41.55406188964844,72.83499908447266,59.29276657104492,118.97166442871094,161.92971801757812,113.96443176269531,38.732666015625,199.2620391845703
2020-01-30,78.88113403320312,93.53399658203125,41.72187042236328,72.7125015258789,59.41791534423828,120.44298553466797,166.4973602294922,114.77546691894531,42.72066879272461,202.5205078125
2020-01-31,75.38363647460938,100.43599700927734,40.6002197265625,71.63899993896484,57.14738082885742,117.31425476074219,164.0400848388672,113.5634536743164,43.371334075927734,193.53297424316406
2020-02-03,75.17662048339844,100.20999908447266,41.09480285644531,74.12999725341797,57.58539581298828,118.20943450927734,168.0391845703125,114.00997924804688,52.0,195.32272338867188
2020-02-04,77.6584701538086,102.4834976196289,42.05747604370117,72.27050018310547,58.51506042480469,119.9111557006836,173.5704803466797,114.51118469238281,59.137332916259766,197.99754333496094
2020-02-05,78.29171752929688,101.99349975585938,42.790531158447266,72.30249786376953,60.19560623168945,121.94974517822266,173.35845947265625,115.55915832519531,48.97999954223633,197.26800537109375
2020-02-06,79.20751190185547,102.5114974975586,43.002498626708984,73.79850006103516,60.2674560546875,121.96747589111328,176.95286560058594,115.85987091064453,49.930667877197266,197.49176025390625
2020-02-07,78.13086700439453,103.96399688720703,42.366600036621094,73.95549774169922,59.3062744140625,121.57749938964844,177.20338439941406,114.89392852783203,49.871334075927734,197.199951171875
2020-02-10,78.50194549560547,106.69550323486328,43.161460876464844,75.43299865722656,59.638648986816406,122.08270263671875,181.8385009765625,114.97594451904297,51.41866683959961,200.36114501953125
2020-02-11,78.02831268310547,107.54000091552734,43.39109802246094,75.50299835205078,60.554927825927734,122.31315612792969,177.73338317871094,113.14427947998047,51.62533187866211,198.36717224121094
2020-02-12,79.88130950927734,108.0,44.09764099121094,75.93150329589844,60.59984588623047,122.31315612792969,177.99359130859375,112.49726104736328,51.15266799926758,201.77149963378906
2020-02-13,79.3124771118164,107.49349975585938,41.79252624511719,75.66950225830078,60.581871032714844,122.206787109375,177.02993774414062,113.873291015625,53.599998474121094,202.02481079101562
2020-02-14,79.33201599121094,106.74349975585938,41.4834098815918,75.9365005493164,60.42915725708008,121.83451843261719,178.61029052734375,114.94860076904297,53.33533477783203,204.83987426757812
